UTC,Open,High,Low,Close,Volume
16.12.2025 14:34:00.000 UTC,120.11,120.116,120.093,120.109,682.35
16.12.2025 14:35:00.000 UTC,120.111,120.144,120.109,120.126,298.8
16.12.2025 14:36:00.000 UTC,120.127,120.158,120.122,120.15,575.7
16.12.2025 14:37:00.000 UTC,120.15,120.151,120.114,120.136,792.3
16.12.2025 14:38:00.000 UTC,120.136,120.152,120.129,120.134,288.6
16.12.2025 14:39:00.000 UTC,120.135,120.138,120.121,120.129,231.75
16.12.2025 14:40:00.000 UTC,120.129,120.139,120.126,120.126,97.65
16.12.2025 14:41:00.000 UTC,120.125,120.133,120.107,120.11,418.95
16.12.2025 14:42:00.000 UTC,120.111,120.12,120.095,120.113,237
16.12.2025 14:43:00.000 UTC,120.112,120.115,120.084,120.088,448.35
16.12.2025 14:44:00.000 UTC,120.089,120.108,120.083,120.088,442.8
16.12.2025 14:45:00.000 UTC,120.088,120.122,120.009,120.113,916.2
16.12.2025 14:46:00.000 UTC,120.113,120.139,120.098,120.134,737.1
16.12.2025 14:47:00.000 UTC,120.133,120.154,120.12,120.133,1031.55
16.12.2025 14:48:00.000 UTC,120.131,120.143,120.115,120.125,854.85
16.12.2025 14:49:00.000 UTC,120.126,120.151,120.125,120.126,470.7
16.12.2025 14:50:00.000 UTC,120.125,120.164,120.115,120.161,405
16.12.2025 14:51:00.000 UTC,120.159,120.172,120.143,120.155,309.3
16.12.2025 14:52:00.000 UTC,120.155,120.155,120.115,120.121,349.05
16.12.2025 14:53:00.000 UTC,120.123,120.138,120.109,120.12,313.5
16.12.2025 14:54:00.000 UTC,120.12,120.131,120.111,120.12,319.35
16.12.2025 14:55:00.000 UTC,120.119,120.135,120.116,120.132,311.1
16.12.2025 14:56:00.000 UTC,120.132,120.133,120.116,120.129,312.75
16.12.2025 14:57:00.000 UTC,120.128,120.137,120.118,120.13,320.4
16.12.2025 14:58:00.000 UTC,120.131,120.131,120.119,120.124,170.1
16.12.2025 14:59:00.000 UTC,120.124,120.132,120.102,120.104,217.8
16.12.2025 15:00:00.000 UTC,120.104,120.117,120.067,120.087,414.3
16.12.2025 15:01:00.000 UTC,120.086,120.087,120.03,120.041,673.5
16.12.2025 15:02:00.000 UTC,120.041,120.043,120.006,120.023,493.95
16.12.2025 15:03:00.000 UTC,120.021,120.038,120.011,120.029,262.95
16.12.2025 15:04:00.000 UTC,120.028,120.042,120.021,120.026,407.55
16.12.2025 15:05:00.000 UTC,120.028,120.029,119.999,120.011,416.85
16.12.2025 15:06:00.000 UTC,120.011,120.034,119.998,120.027,379.65
16.12.2025 15:07:00.000 UTC,120.026,120.042,120.023,120.032,328.5
16.12.2025 15:08:00.000 UTC,120.033,120.043,120.013,120.032,402.75
16.12.2025 15:09:00.000 UTC,120.031,120.035,120.013,120.017,292.8
16.12.2025 15:10:00.000 UTC,120.018,120.053,120.018,120.047,247.65
16.12.2025 15:11:00.000 UTC,120.048,120.07,120.045,120.061,244.5
16.12.2025 15:12:00.000 UTC,120.061,120.084,120.053,120.084,291.45
16.12.2025 15:13:00.000 UTC,120.084,120.108,120.077,120.099,382.8
16.12.2025 15:14:00.000 UTC,120.098,120.102,120.08,120.083,360.15
16.12.2025 15:15:00.000 UTC,120.084,120.084,120.019,120.03,423.3
16.12.2025 15:16:00.000 UTC,120.031,120.042,120.019,120.032,357.15
16.12.2025 15:17:00.000 UTC,120.033,120.04,120.011,120.016,382.8
16.12.2025 15:18:00.000 UTC,120.017,120.026,119.999,120.004,415.8
16.12.2025 15:19:00.000 UTC,120.005,120.01,119.984,119.984,270.6
16.12.2025 15:20:00.000 UTC,119.982,120.018,119.971,120.007,235.65
16.12.2025 15:21:00.000 UTC,120.007,120.013,119.991,119.995,277.2
16.12.2025 15:22:00.000 UTC,119.995,119.997,119.965,119.966,321.9
16.12.2025 15:23:00.000 UTC,119.967,119.99,119.96,119.972,423
16.12.2025 15:24:00.000 UTC,119.972,119.978,119.964,119.967,217.05
16.12.2025 15:25:00.000 UTC,119.964,119.964,119.945,119.954,343.05
16.12.2025 15:26:00.000 UTC,119.954,119.97,119.948,119.954,233.1
16.12.2025 15:27:00.000 UTC,119.955,119.956,119.924,119.93,414.45
16.12.2025 15:28:00.000 UTC,119.931,119.938,119.928,119.935,240.75
16.12.2025 15:29:00.000 UTC,119.934,119.941,119.907,119.91,405.9
16.12.2025 15:30:00.000 UTC,119.913,119.955,119.902,119.928,610.95
16.12.2025 15:31:00.000 UTC,119.926,119.94,119.922,119.934,266.55
